occurtime,power
2020-12-10_00:05:00,130.16
2020-12-10_00:10:00,124.64
2020-12-10_00:15:00,121.36
2020-12-10_00:20:00,120.16
2020-12-10_00:25:00,0.0
2020-12-10_00:30:00,0.0
2020-12-10_00:35:00,0.0
2020-12-10_00:40:00,0.0
2020-12-10_00:45:00,130.32
2020-12-10_00:50:00,129.92
2020-12-10_00:55:00,126.0
2020-12-10_01:00:00,124.32
2020-12-10_01:05:00,121.04
2020-12-10_01:10:00,0.0
2020-12-10_01:15:00,0.0
2020-12-10_01:20:00,0.0
2020-12-10_01:25:00,0.0
2020-12-10_01:30:00,132.96
2020-12-10_01:35:00,127.76
2020-12-10_01:40:00,124.56
2020-12-10_01:45:00,122.48
2020-12-10_01:50:00,120.32
2020-12-10_01:55:00,0.0
2020-12-10_02:00:00,0.0
2020-12-10_02:05:00,0.0
2020-12-10_02:10:00,129.92
2020-12-10_02:15:00,128.24
2020-12-10_02:20:00,127.12
2020-12-10_02:25:00,124.8
2020-12-10_02:30:00,120.4
2020-12-10_02:35:00,0.0
2020-12-10_02:40:00,0.0
2020-12-10_02:45:00,0.0
2020-12-10_02:50:00,140.16
2020-12-10_02:55:00,127.12
2020-12-10_03:00:00,121.92
2020-12-10_03:05:00,120.08
2020-12-10_03:10:00,115.6
2020-12-10_03:15:00,0.0
2020-12-10_03:20:00,0.0
2020-12-10_03:25:00,0.0
2020-12-10_03:30:00,134.8
2020-12-10_03:35:00,164.4
2020-12-10_03:40:00,162.56
2020-12-10_03:45:00,162.24
2020-12-10_03:50:00,164.32
2020-12-10_03:55:00,164.72
2020-12-10_04:00:00,159.2
2020-12-10_04:05:00,1.03
2020-12-10_04:10:00,146.4
2020-12-10_04:15:00,151.12
2020-12-10_04:20:00,149.28
2020-12-10_04:25:00,143.6
2020-12-10_04:30:00,137.68
2020-12-10_04:35:00,131.44
2020-12-10_04:40:00,128.8
2020-12-10_04:45:00,126.72
2020-12-10_04:50:00,124.32
2020-12-10_04:55:00,121.76
2020-12-10_05:00:00,120.64
2020-12-10_05:05:00,118.72
2020-12-10_05:10:00,118.72
2020-12-10_05:15:00,119.04
2020-12-10_05:20:00,118.56
2020-12-10_05:25:00,115.2
2020-12-10_05:30:00,114.88
2020-12-10_05:35:00,0.0
2020-12-10_05:40:00,0.0
2020-12-10_05:45:00,0.0
2020-12-10_05:50:00,153.76
2020-12-10_05:55:00,127.76
2020-12-10_06:00:00,124.24
2020-12-10_06:05:00,121.44
2020-12-10_06:10:00,120.24
2020-12-10_06:20:00,0.0
2020-12-10_06:25:00,0.0
2020-12-10_06:30:00,0.0
2020-12-10_06:35:00,0.0
2020-12-10_06:40:00,127.92
2020-12-10_06:45:00,125.2
2020-12-10_06:50:00,123.44
2020-12-10_06:55:00,122.0
2020-12-10_07:00:00,0.0
2020-12-10_07:05:00,0.0
2020-12-10_07:10:00,0.0
2020-12-10_07:15:00,0.0
2020-12-10_07:20:00,130.56
2020-12-10_07:25:00,126.0
2020-12-10_07:30:00,123.84
2020-12-10_07:35:00,122.24
2020-12-10_07:40:00,0.0
2020-12-10_07:45:00,0.0
2020-12-10_07:50:00,0.0
2020-12-10_07:55:00,0.0
2020-12-10_08:00:00,133.28
2020-12-10_08:05:00,127.36
2020-12-10_08:10:00,125.12
2020-12-10_08:15:00,124.0
2020-12-10_08:20:00,124.48
2020-12-10_08:25:00,0.0
2020-12-10_08:30:00,0.0
2020-12-10_08:35:00,0.0
2020-12-10_08:40:00,154.8
2020-12-10_08:45:00,129.04
2020-12-10_08:50:00,125.28
2020-12-10_08:55:00,123.76
2020-12-10_09:00:00,122.4
2020-12-10_09:05:00,0.0
2020-12-10_09:10:00,0.0
2020-12-10_09:15:00,0.0
2020-12-10_09:20:00,0.0
2020-12-10_09:25:00,127.84
2020-12-10_09:30:00,124.4
2020-12-10_09:35:00,122.24
2020-12-10_09:40:00,121.28
2020-12-10_09:45:00,0.0
2020-12-10_09:50:00,0.0
2020-12-10_09:55:00,0.0
2020-12-10_10:00:00,139.6
2020-12-10_10:05:00,128.88
2020-12-10_10:10:00,124.56
2020-12-10_10:15:00,122.64
2020-12-10_10:20:00,0.0
2020-12-10_10:25:00,0.0
2020-12-10_10:30:00,0.0
2020-12-10_10:35:00,0.0
2020-12-10_10:40:00,130.48
2020-12-10_10:45:00,127.36
2020-12-10_10:50:00,124.56
2020-12-10_10:55:00,122.56
2020-12-10_11:00:00,0.0
2020-12-10_11:05:00,0.0
2020-12-10_11:10:00,0.0
2020-12-10_11:15:00,133.76
2020-12-10_11:20:00,127.6
2020-12-10_11:25:00,125.44
2020-12-10_11:30:00,123.92
2020-12-10_11:35:00,0.0
2020-12-10_11:40:00,0.0
2020-12-10_11:45:00,0.0
2020-12-10_11:50:00,299.12
2020-12-10_11:55:00,129.36
2020-12-10_12:00:00,125.28
2020-12-10_12:05:00,123.28
2020-12-10_12:10:00,0.0
2020-12-10_12:15:00,0.0
2020-12-10_12:20:00,0.0
2020-12-10_12:25:00,0.0
2020-12-10_12:30:00,130.24
2020-12-10_12:35:00,125.92
2020-12-10_12:40:00,124.24
2020-12-10_12:45:00,0.0
2020-12-10_12:50:00,0.0
2020-12-10_12:55:00,0.0
2020-12-10_13:00:00,0.0
2020-12-10_13:05:00,130.48
2020-12-10_13:10:00,126.8
2020-12-10_13:15:00,126.8
2020-12-10_13:20:00,124.08
2020-12-10_13:25:00,0.0
2020-12-10_13:30:00,0.0
